Job Title,Unnamed: 1,Key Skills,Role Category,Functional Area,Industry,Role,Min Experience
 Hiring a Valuation Associate (female Only),, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Analytics & Business Intelligence,"Real Estate, Property",Other,0
 Merchandising & Marketing- Professor,, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,10
 Medical Transcriber,, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing,3
 PHP Developer,, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,0
 Business Development Manager,, Sales| Management| Sales management| Educational sales,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager,1
 Looking for a Job Change With a good package,, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),1
 Huge Requirement for Customer Care Executive with Fixed Salary,, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),0
Assistant Manager – BI&I (data Automation),,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager,0
 Field Sales Executive,, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,0
 Sr. Manager Sales Capability Building,, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Support,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer,10
 Service Ops Expert - Servc Del | Microland,, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),2
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),, planning| training| training manager| trainer| faculty,Teachers,"Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,4
 Sales Manager,, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,3
 Field Support Team-Supervisor,, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Other,Technical Support Engineer,4
 Sr. C# Developer,, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1
 Sr Structural Engineer,, Senior Design Engineer| Engineering Design| SACS,Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,5
 IT Security Head ,, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO,4
 Technical Support Executive,, Technical Support Executive| Electrical engineering,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical),2
 Analyst - Business Intelligence,, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,1
Nokia WING Circuit Core - SMSC Engineer,,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Programming & Design,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer,0
 Assistant Restaurant Manager / Restaurant Manager,, assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,5
 Digital / Web Artist,, layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer,0
 Business Development Manager,, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales,2
 Web/ GUI Designer,, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,3
" Web Designer - Html, CSS, Bootstrap, Photoshop",, Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Programming & Design,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer,1
 Python Developer,, Python,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,1
 Web Designer,, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer,4
 AVP- FX MO,, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Senior Management,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,8
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Senior Management,"Sales , Retail , Business Development",Insurance,Head/VP/GM/National Manager -Sales,4
 Head - Project Management,, Project Management,Senior Management,"Production , Manufacturing , Maintenance","Real Estate, Property",Head/VP/GM-Operations,15
 Walk- In For Development QA/ Regulatory Affairs,, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Research Scientist,4
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),, accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager,10
 Team Leader- Head Digital Prtnrshp & BD,, Data analysis| Consumer research| Management| Head Business Development,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,8
 DWH Tester - Manual Testing,, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,4
 Quality Assurance Engineer,, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,QA/Testing/Documentation,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Quality Assurance/Quality Control Executive,3
 Technical / Functional Skills,, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,4
 Software Development / Software Engineer,, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
,,vide,,,,,0
 Inbound Phone Banking Voice Process - Leading Bank - Noida,, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical),0
Java Enterprise Edition,,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,0
 Associate Clinical Data Processor,, MS Office| Data entry,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical),0
,,Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Counter|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales,,,,,0
 CRM,, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,1
 Magento Developer,, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Programming & Design,IT Software - System Programming,"BPO, Call Centre, ITeS",Software Developer,2
 Merchandiser,, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser,2
 SIEM Analyst,,vide,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","Recruitment, Staffing",System Security,2
 Hiring ll Azure Devops and Management Lead ll Hyderabad,, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,6
 Senior Faculty - Information Design,,vide,,"Teaching , Education , Training , Counselling","Education, Teaching, Training",,15
 computer operator,, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level,,"Executive Assistant , Front Office , Data Entry","IT-Software, Software Services",Stenographer/Data Entry Operator,1
 Operation Executive,, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Administration/Facility Management,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Executive/ Sr Executive - Administration,2
 Customer Support Executive,, Customer Support Executive| Customer service| Business Executive| process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),0
 Corporate-Day Care Manager.,, Staff Training| Day Care| Recruitment,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher / Incharge / Attendant,2
 Hiring going on for .US Inbound Tech Support/ Sales,, process| Spot| Technical support| Night shift| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),1
Deputy Manager- Performance/digital Marketing,,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Social Media Marketing Manager,0
" Technical Lead -(VoIP,Cisco Call Manager)",, java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead,2
,,vide,,,,,0
 Relationship Manager,, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Channel Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales / BD Manager,3
" Technician, Technical Support",, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,0
 Graphic Designer,, Illustrator| Corel Draw| Photoshop,Creative,"Design , Creative , User Experience","Education, Teaching, Training",Graphic Designer,2
 Consultant,, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,2
 Immediate Requirement for Fusion Technical Lead Developer,, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,10
 Layout Designer / Web Designer,, Layout design| Corel Draw| Web designing| Photoshop,Programming & Design,IT Software - Other,"Recruitment, Staffing",Graphic/Web Designer,1
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc,, Bpo Voice| Voice Process| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
 Asp.net with Angular JS & Html5 - Hyderabad,, HTML5| ASP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5
 Sales Manager Product and Portfolio,, Product training| Sales| Relationship| Banking| Recruitment,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,5
 Key Accounts Manager,, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Client Servicing/Key Account Manager,6
 Store Head-leading Manufacturing Company,, Stores| warehouse| Logistics,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager,10
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl,, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),2
 Java Software Engineer,, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,1
 Admin Executive,, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Administration/Facility Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration,2
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa,, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit,12
 Accounts Manager (male),, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,7
 Opening for French Specialist Accounts Payable,, accounts payable| accounting| AP,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),1
 Applications Analyst OEE,, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,3
 Customer Service Engineer - - ICD Security Solutions,, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager,2
 Urgently Required Senior PHP Developer(laravel) || Gurgaon ,, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Associate Process Consultant,, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Management,IT Software - Telecom Software,"IT-Software, Software Services",Project Manager-IT/Software,7
 Infrastructure management- Lecturer,, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,5
 Finance Admin,, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst,4
 Guest Relations Executive,, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,Senior Management,"Sales , Retail , Business Development","NGO, Social Services, Regulators, Industry Associations",Head/VP/GM/National Manager -Sales,6
 Salesforce System Architect,, salesforce| salesforce.com| system design| application architecture,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,8
,,vide,,,,,0
System Monitoring Tools & Techniques Professional,,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,Project Management,"IT Software - ERP , CRM",IT-Software / Software Services,Project Manager-IT/Software,0
 HR Recruiter,, Recruitment| Hiring| HR| Screening| Interviewing| Staffing,Other,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher,0
 Business Development Manager (eCommerce),, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,1
 Java Developer - Spring/ Hibernate,, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5
 Python Developer,, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,0
 Sales And Marketing/Business Development manager,, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,2
 Microsoft Developer,, build automation| Entity framework| MVC| microsoft| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,2
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales,, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),2
 Inbound Technical Support With Attractive Salary Package,, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),0
" Placement Officer,",, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,Other,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Outside Consultant,0
 Walk-in Interviews For Sr.executive - Procurement on 5th July,, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase Executive,2
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,,Test Engineering,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,0
 Senior TSA Inbound Tech Process,, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),0
 Freelance Corporate Trainer on Taleo,, Corporate Training| corporate trainer| technical trainer,Teachers,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Trainer,5
 Senior Java Developer- Urgently Required by Mumbai IT Company,, java| mongodb| Hibernate| spring| jms,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Manager Procurement,, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Advertising, PR, MR, Event Management",Purchase/Vendor Development Manager,4
 Senior Software Engineer - UI Development - Javascript/angularjs,, software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5
 Telle Caller,, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Telecalling/Telemarketing Executive,0
 Documentation Executive,, e - tendering| Tender Preparation| bid preparation| proposal preparation,,Other,"Architecture, Interior Design",Other,8
 Restaurant Cashier,, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Cashier,2
" Opening For Dot Net Developer @ Baner, Pune",, C#| .Net| Asp.net,Other,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher,0
 Management Trainee,, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,Other,"Sales , Retail , Business Development",Insurance,Trainee,0
 Junior Company Secretary,, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,Programming & Design,IT Software - QA & Testing,"Medical, Healthcare, Hospitals",Testing Engineer,3
 Production Manager,, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Production Manager,1
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice),, Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),0
 Business Transformation Consultant,, project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management,,Other,"Strategy, Management Consulting Firms",Other,3
 Content Editor,, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,3
 Graphics Hardware Engineer,, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,5
 Visual Designer,, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser,1
 Web Designer,, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer,3
 ACCOUNTS EXECUTIVES,, Tally| Retail| Accounts Executive| Retail Executive,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Accounts Executive/Accountant,3
 Finance & Accounting Associates,, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager,2
 DEALER - RETAIL BROKING,, NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling,Institutional Sales,"Sales , Retail , Business Development","Accounting, Finance",Sales Executive/Officer,1
 SENIOR SOFTWARE DEVELOPER (MVC .NET),, MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5
 Client Relationship Partner,, MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer,2
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)",, sales strategy| sales management| B2B Sales| corporate sales| institutional sales,Institutional Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,2
 Dot Net Developer,, soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Lead Business Systems Analyst,, Analyst,,Other,"Banking, Financial Services, Broking",Other,7
 Sr. Manager- Art in Mumbai || Opportunity @ Client side,, Art Director,Senior Management,"Design , Creative , User Experience","Internet, Ecommerce",Creative Director,7
 Hiring for Domestic/ International Processes.contact the HR Asap,, fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
 Sr . Manager,, Automobile| Warehouse| Problem management| Manager Operations,,Top Management,"Recruitment, Staffing",Head/VP/GM-Operations,7
 Manager Learning & Development,,vide,Senior Management,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",Head/VP/GM-Training & Development,10
 Urgent Requirement for CCE Telesales for Night Shift.,, Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),1
 Vancancy for Inbound Tech Sales Executive,, Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),0
 Infrastructure SSO Architect- Looking For Early Joiners,, single sign - on| single sign on| IT Infrastructure| SSO,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect,10
 Sr. Architect / Project Position: Sr. Architect / Project,, layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architectural Services,"Architecture , Interior Design","Real Estate, Property",Architect,10
Nosql (couchdb/redis/bigtable/dynamodb),,coding|database design|test cases|analytical|nosql|cassandra,Programming & Design,"IT Software - DBA , Datawarehousing",IT-Software / Software Services,Software Developer,0
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies,, accent| auditing| soft skills| training needs| customer service| process compliance,Training,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Voice & Accent Trainer,3
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi,, Sales| Fresher| Marketing,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,0
 AIT Global India Private Limited is Looking For JAVA Developer.,, Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA",, Virtualization| Cloud computing| Server architecture| Windows Troubleshooting| Customer satisfaction| Manager Technology| Deployment| Management,Programming & Design,IT Software - System Programming,"Real Estate, Property",Technical Architect,2
 Relationship Manager - Bangalore,, business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer,2
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad,, Sales| Sale| Networking Sales| It Solution Sales| Structured Cabling| Passive Networking| Data Center| Cable Tray| cabling| Data Center Rack| data - centre rack| LAN| UTP Cables,Corporate Sales,"Sales , Retail , Business Development","Electricals, Switchgears",Sales/Business Development Manager,3
